O,T,value
31,1986,0.704208508
31,1987,0.693135658
31,1988,0.664412232
31,1989,0.606821041
31,1990,0.49021589
31,1991,0.440965421
31,1992,0.424967867
31,1993,0.470956966
31,1994,0.554879683
31,1995,0.623667443
31,1996,0.673835495
31,1997,0.695754377
31,1998,0.70145576
31,1999,0.678990453
31,2000,0.694558426
31,2001,0.68670227
31,2002,0.660576943
31,2003,0.613233808
31,2004,0.530259604
31,2005,0.459837722
31,2006,0.445230289
31,2007,0.554322948
31,2008,0.632863888
31,2009,0.685258882
31,2010,0.706471534
31,2011,0.667979463
31,2012,0.670350743
31,2013,0.656978783
31,2014,0.573772604
31,2015,0.429092816
31,2016,0.46924552
31,2017,0.52700167
31,2018,0.57488092
31,2019,0.602429016
31,2020,0.615976246
31,2021,0.585788812
31,2022,0.585376415
31,2023,0.606284925
31,2024,0.601789802
31,2025,0.545841323
31,2026,0.470132173
31,2027,0.40948581
31,2028,0.457337568
31,2029,0.539847826
31,2030,0.603740438
31,2031,0.588056994
31,2032,0.605171454
31,2033,0.592964513
31,2034,0.522315814
31,2035,0.405159082
31,2036,0.455615811
31,2037,0.537971421
31,2038,0.615563849
31,2039,0.659164484
31,2040,0.681604017
31,2041,0.658721158
31,2042,0.676474833
31,2043,0.65723653
31,2044,0.585885037
31,2045,0.506608656
31,2046,0.429892571
31,2047,0.464729777
31,2048,0.546776089
31,2049,0.611872899
31,2050,0.653360002
31,2051,0.673076685
31,2052,0.655019899
31,2053,0.67565004
31,2054,0.659123244
31,2055,0.594909651
31,2056,0.510650143
31,2057,0.437291654
31,2058,0.475802627
31,2059,0.552199105
31,2060,0.619832155
31,2061,0.654638431
31,2062,0.690162278
31,2063,0.674784007
31,2064,0.658350001
31,2065,0.688042559
31,2066,0.666989711
31,2067,0.596222447
31,2068,0.490133411
31,2069,0.433061152
31,2070,0.539785966
31,2071,0.629915253
31,2072,0.682021568
31,2073,0.660710972
31,2074,0.683588676
31,2075,0.661020269
31,2076,0.590510753
31,2077,0.512918325
31,2078,0.433841268
31,2079,0.527434687
31,2080,0.591933522
31,2081,0.643225354
31,2082,0.66645875
31,2083,0.644957421
31,2084,0.663937976
31,2085,0.643266594
31,2086,0.586785437
31,2087,0.490762315
