year,T,PV,Wind,Y
2009,921,0.021,0.0779,1
2009,922,0.066,0.0724,1
2009,923,0.114,0.0689,1
2009,924,0.152,0.0686,1
2009,925,0.166,0.0716,1
2009,926,0.143,0.0744,1
2009,927,0.092,0.0736,1
2009,928,0.038,0.0768,1
2009,929,0.002,0.0925,1
2009,930,0,0.1094,1
2009,931,0,0.1147,1
2009,932,0,0.1124,1
2009,933,0,0.106,1
2009,934,0,0.098,1
2009,935,0,0.0912,1
2009,936,0,0.0832,1
2009,937,0,0.0776,1
2009,938,0,0.0757,1
2009,939,0,0.0707,1
2009,940,0,0.0655,1
2009,941,0,0.0605,1
2009,942,0,0.0548,1
2009,943,0,0.0474,1
2009,944,0,0.0418,1
2009,945,0.024,0.0402,1
2009,946,0.068,0.0422,1
2009,947,0.11,0.0442,1
2009,948,0.138,0.0484,1
2009,949,0.141,0.0555,1
2009,950,0.122,0.0662,1
2009,951,0.082,0.0817,1
2009,952,0.036,0.1035,1
