T,O,price_1,price_2,price_3,
96,3,15.40554234,-15.40554234,-15.40554234,6
97,1,15.40699491,15.40699491,110,5
97,2,15.37963286,15.37963286,15.37963286,8
97,3,15.38123935,-15.38123935,-15.38123935,5
98,1,13.01232489,13.01232489,132,6
98,2,13.00659426,13.00659426,13.00659426,4
98,3,13.00961885,-13.00961885,-13.00961885,4
99,1,15.38805921,15.38805921,220,10
99,2,15.37963324,15.37963324,15.37963324,0
99,3,15.38123938,-15.38123938,-15.38123938,4
100,1,13.01222482,13.01222482,154,7
100,2,13.00659419,13.00659419,13.00659419,2
100,3,13.00961777,-13.00961777,-13.00961777,7
